,xdata,ydata
0,237.97708613175612,1338.3412445580027
1,239.34384364943062,1341.8604293900428
2,240.6963431822581,1345.4404730634953
3,242.06247142739358,1349.0805263838747
4,243.4143483239057,1352.7797466955171
5,244.779847730994,1356.5372978395287
6,246.1311024210466,1280.804327166843
7,247.49597342417192,1213.4934442827946
8,248.8466063372283,1155.9151397513865
9,250.21084937007802,1108.7677584601429
10,251.56086093520472,1070.1041149237294
11,252.92447643106937,1020.9349684485128
12,254.27386707693387,986.6496444929637
13,255.63685546870505,956.6177222351296
14,256.9856256235867,933.4437255082137
15,258.34798734375266,911.2603276310844
16,259.6961374355363,895.8901262287494
17,261.0439792449077,870.6373030325544
18,262.405403372364,856.4204039391775
19,263.75262575862666,834.1556442225334
20,265.1134242928686,823.1317608978125
21,266.4600276829228,799.7248240845793
22,267.820201055053,784.2958249422794
23,269.1661858754066,760.7072856639867
24,270.5257345161352,725.1247468055328
25,271.8711011929077,702.4128003461656
26,273.2161605414527,660.5175851188824
27,274.574774491458,624.5204243370532
28,275.91921633377456,605.3472636155202
29,277.2772066263174,564.7696196152295
30,278.6210313875429,539.553599503649
31,279.97839845195,492.57069391081603
32,281.3216065568358,462.94639388746737
33,282.6645080727941,431.0892000568094
34,284.0209426949441,400.25635568300635
35,285.36322818987264,381.92310218700413
36,286.7190406543826,340.22593533409963
37,288.060710552057,313.4100556005038
38,289.4020743872687,290.9600239457617
39,290.7569560106865,251.37512394229344
40,292.09770488250115,221.39249763372536
41,293.4519654163221,188.51941900211176
42,294.7920997475482,175.63133336029318
43,296.1319285415729,142.98872400261314
44,297.48525983179985,126.80816928281165
45,298.82447471763805,112.31285084915412
46,300.16338438064145,90.78612384273026
47,301.51578738336946,78.46122152921089
48,302.85408376972117,66.99192304430957
49,304.20586738620983,53.04670073735428
50,305.5435509171766,40.77965635827357
51,306.8809297486507,34.02239357794329
52,308.2317866692969,18.80597296796841
53,309.5685532754746,16.076947770600928
54,310.9050154953769,13.081058671370448
55,312.2549466727802,4.591822914251643
56,313.59079729661795,-1.1456774082415904
57,314.9263438469662,7.752842105288728
58,316.2753502324164,-2.2894457523206073
59,317.6102858150711,11.986644444621998
60,318.9449176365907,14.826015296373553
61,320.2930001800809,33.9295823577607
62,321.62702166141065,49.45088675410021
63,322.96073969354313,71.2072891630344
64,324.30789934376116,71.9579455443123
65,325.641007662351,88.62961105893802
66,326.9738128432436,106.90887565365192
67,328.32005054758264,113.0334001143859
68,329.6522466407275,111.0508763492653
69,330.98413990725015,128.72233574527831
70,332.3157304503991,129.4164622590589
71,333.6607414155114,143.9890035816351
72,334.99172370325465,151.97571022274292
73,336.32240357813316,151.17172353483267
74,337.666494801827,152.2337163309222
75,338.9965670450956,164.52050919942195
76,340.32633718558776,166.22921034741137
77,341.65580532621385,167.208970854046
78,342.9986727427692,182.99282007265484
79,344.32753408147755,186.23957700599058
80,345.65609372984653,205.79160064790153
81,346.9980436024249,208.77961955348502
82,348.32599707068556,202.49735529862667
83,349.6536491577021,205.30832773523485
84,350.9809999660638,210.10411214912338
85,352.32172895425464,216.26646349593165
86,353.64847440956135,215.966477561717
87,354.974918894749,225.23544406194634
88,356.3010625122183,222.76364671624458
89,357.6405722813735,236.66262364905387
90,358.9661113713341,248.04878843556725
91,360.2913499015548,255.7241872537301
92,361.6162879742455,278.78963300086065
93,362.940925691575,283.4483882124623
94,364.2789145559197,296.40781022440683
95,365.6029487750386,306.54809764648985
96,366.9266829460743,327.5883793011136
97,368.2501171710091,343.0295337186772
98,369.5868905512407,349.14914260211515
99,370.9097221001392,373.786873246673
100,372.2322540096576,371.00787645039
101,373.5544863815916,388.86871383565057
102,374.87641931769355,383.98592259754673
103,376.2116764498345,390.4642164684526
104,377.53300773499603,419.0030090245238
105,378.8540398903481,429.54715686521916
106,380.1747730174565,450.09661897565826
107,381.4952072178439,449.2723581813908
108,382.8153425929808,474.0267791725944
109,384.14878425238,498.9188653035798
110,385.4683192032059,510.0482474089715
111,386.78755563397544,537.4229285916662
112,388.10649364598135,549.6519067981305
113,389.4251333404642,571.9013750737894
114,390.7570644151939,587.5774191887419
115,392.07510470535937,602.4661199863372
116,393.3928469825065,615.7381084509195
117,394.7102913476937,630.1731131438552
118,396.0274379019384,654.4410963597122
119,397.34428674620796,668.3015656772886
120,398.66083798142853,683.4535465784256
121,399.99065978552466,705.3996149125132
122,401.3066130397055,716.4071779433041
123,402.622268988375,734.553259819312
124,403.9376277322729,758.6390657555289
125,405.25268937209546,771.2566554563763
126,406.56745400849576,783.54738640549
127,407.88192174207256,791.6734395293644
128,409.1960926733921,811.2914419336995
129,410.5235104533058,824.1039018558015
130,411.837085024379,812.4201461586131
131,413.1503630956331,827.9543506907842
132,414.46334476744363,832.7695467549764
133,415.7760301401448,837.368785948105
134,417.0884193140231,834.3225283637834
135,418.4005123893217,841.5507905683825
136,419.71230946623393,847.6092321729252
137,421.0238106449162,855.8356132901612
138,422.3350160254685,862.5432282590161
139,423.6594387011807,867.3946738268157
140,424.97004973873374,870.7600355252059
141,426.2803652792398,894.922769966174
142,427.590385422619,885.1070567041189
143,428.9001102687545,892.3526223925173
144,430.2095399174818,892.4858761846031
145,431.5186744685887,907.2642844807013
